participant_id,gender,education,cue,response,response_position,response_level
1,male,high school,intelligence,Einstein,1,1
1,male,high school,intelligence,books,2,1
1,male,high school,intelligence,IQ tests,3,1
1,male,high school,intelligence,college,4,1
1,male,high school,intelligence,smart people,5,1
2,male,high school,intelligence,brain,1,1
2,male,high school,intelligence,genius,2,1
2,male,high school,intelligence,technology,3,1
2,male,high school,intelligence,science,4,1
2,male,high school,intelligence,puzzles,5,1
3,male,high school,intelligence,knowledge,1,1
3,male,high school,intelligence,learning,2,1
3,male,high school,intelligence,reading,3,1
3,male,high school,intelligence,math,4,1
3,male,high school,intelligence,professor,5,1
4,male,high school,intelligence,IQ,1,1
4,male,high school,intelligence,chess,2,1
4,male,high school,intelligence,logic,3,1
4,male,high school,intelligence,debate,4,1
4,male,high school,intelligence,computer,5,1
5,male,high school,intelligence,school,1,1
5,male,high school,intelligence,education,2,1
5,male,high school,intelligence,grades,3,1
5,male,high school,intelligence,university,4,1
5,male,high school,intelligence,teacher,5,1
6,male,high school,intelligence,problem solving,1,1
6,male,high school,intelligence,critical thinking,2,1
6,male,high school,intelligence,innovation,3,1
6,male,high school,intelligence,coding,4,1
6,male,high school,intelligence,intelligence agency,5,1
7,male,high school,intelligence,library,1,1
7,male,high school,intelligence,study,2,1
7,male,high school,intelligence,intelligence quotient,3,1
7,male,high school,intelligence,scholarship,4,1
7,male,high school,intelligence,academic,5,1
8,male,high school,intelligence,history,1,1
8,male,high school,intelligence,linguistics,2,1
8,male,high school,intelligence,psychology,3,1
8,male,high school,intelligence,philosophy,4,1
8,male,high school,intelligence,neuroscience,5,1
9,male,high school,intelligence,smartwatch,1,1
9,male,high school,intelligence,artificial intelligence,2,1
9,male,high school,intelligence,research,3,1
9,male,high school,intelligence,discoveries,4,1
9,male,high school,intelligence,inventions,5,1
10,male,high school,intelligence,Mensa,1,1
10,male,high school,intelligence,trivia,2,1
10,male,high school,intelligence,quantum physics,3,1
10,male,high school,intelligence,analytics,4,1
10,male,high school,intelligence,strategy games,5,1
11,male,high school,intelligence,Einstein,1,1
11,male,high school,intelligence,smart,2,1
11,male,high school,intelligence,IQ,3,1
11,male,high school,intelligence,tests,4,1
11,male,high school,intelligence,book smart,5,1
12,male,high school,intelligence,brains,1,1
12,male,high school,intelligence,genius,2,1
12,male,high school,intelligence,knowledge,3,1
12,male,high school,intelligence,reading,4,1
12,male,high school,intelligence,wisdom,5,1
13,male,high school,intelligence,Stephen Hawking,1,1
