participant_id,gender,education,cue,response,response_position
1,male,high school,intelligence,Einstein,1
1,male,high school,intelligence,books,2
1,male,high school,intelligence,science,3
1,male,high school,intelligence,technology,4
1,male,high school,intelligence,university,5
2,male,high school,intelligence,IQ tests,1
2,male,high school,intelligence,chess,2
2,male,high school,intelligence,genius,3
2,male,high school,intelligence,Stephen Hawking,4
2,male,high school,intelligence,programming,5
3,male,high school,intelligence,brain,1
3,male,high school,intelligence,learning,2
3,male,high school,intelligence,education,3
3,male,high school,intelligence,smart,4
3,male,high school,intelligence,curiosity,5
4,male,high school,intelligence,puzzles,1
4,male,high school,intelligence,innovation,2
4,male,high school,intelligence,discoveries,3
4,male,high school,intelligence,intelligence agencies,4
4,male,high school,intelligence,cryptography,5
5,male,high school,intelligence,AI,1
5,male,high school,intelligence,data analysis,2
5,male,high school,intelligence,Elon Musk,3
5,male,high school,intelligence,neuroscience,4
5,male,high school,intelligence,logic,5
6,male,high school,intelligence,debates,1
6,male,high school,intelligence,philosophy,2
6,male,high school,intelligence,mathematics,3
6,male,high school,intelligence,coding,4
6,male,high school,intelligence,languages,5
7,male,high school,intelligence,history,1
7,male,high school,intelligence,literature,2
7,male,high school,intelligence,analysis,3
7,male,high school,intelligence,critical thinking,4
7,male,high school,intelligence,knowledge,5
8,male,high school,intelligence,research,1
8,male,high school,intelligence,inventions,2
8,male,high school,intelligence,space exploration,3
8,male,high school,intelligence,quantum physics,4
8,male,high school,intelligence,algorithms,5
9,male,high school,intelligence,TED Talks,1
9,male,high school,intelligence,scholarships,2
9,male,high school,intelligence,Nobel Prize,3
9,male,high school,intelligence,analytics,4
9,male,high school,intelligence,strategic games,5
10,male,high school,intelligence,wisdom,1
10,male,high school,intelligence,intelligence quotient,2
10,male,high school,intelligence,problem-solving,3
10,male,high school,intelligence,creativity,4
10,male,high school,intelligence,thought experiments,5
11,male,high school,intelligence,Einstein,1
11,male,high school,intelligence,books,2
11,male,high school,intelligence,puzzles,3
11,male,high school,intelligence,technology,4
11,male,high school,intelligence,debates,5
12,male,high school,intelligence,brains,1
12,male,high school,intelligence,tests,2
12,male,high school,intelligence,IQ,3
12,male,high school,intelligence,professors,4
12,male,high school,intelligence,libraries,5
13,male,high school,intelligence,reading,1
13,male,high school,intelligence,math,2
13,male,high school,intelligence,chess,3
13,male,high school,intelligence,science,4
13,male,high school,intelligence,curiosity,5
14,male,high school,intelligence,smart,1
14,male,high school,intelligence,genius,2
14,male,high school,intelligence,learning,3
14,male,high school,intelligence,education,4
14,male,high school,intelligence,knowledge,5
15,male,high school,intelligence,problem-solving,1
15,male,high school,intelligence,critical thinking,2
15,male,high school,intelligence,innovation,3
15,male,high school,intelligence,discovery,4
15,male,high school,intelligence,research,5
16,male,high school,intelligence,theories,1
16,male,high school,intelligence,physics,2
16,male,high school,intelligence,coding,3
16,male,high school,intelligence,experiments,4
16,male,high school,intelligence,algorithms,5
17,male,high school,intelligence,history,1
17,male,high school,intelligence,philosophy,2
17,male,high school,intelligence,linguistics,3
17,male,high school,intelligence,artificial intelligence,4
17,male,high school,intelligence,psychology,5
18,male,high school,intelligence,creativity,1
18,male,high school,intelligence,insight,2
18,male,high school,intelligence,wisdom,3
18,male,high school,intelligence,understanding,4
18,male,high school,intelligence,logic,5
19,male,high school,intelligence,analytics,1
19,male,high school,intelligence,statistics,2
19,male,high school,intelligence,quantum computing,3
19,male,high school,intelligence,neuroscience,4
19,male,high school,intelligence,formulas,5
20,male,high school,intelligence,intelligence agencies,1
20,male,high school,intelligence,spies,2
20,male,high school,intelligence,encryption,3
20,male,high school,intelligence,cybersecurity,4
20,male,high school,intelligence,data analysis,5
21,male,high school,intelligence,Einstein,1
21,male,high school,intelligence,math,2
21,male,high school,intelligence,puzzles,3
21,male,high school,intelligence,books,4
21,male,high school,intelligence,curiosity,5
22,male,high school,intelligence,IQ tests,1
22,male,high school,intelligence,chess,2
22,male,high school,intelligence,university degrees,3
22,male,high school,intelligence,reading,4
22,male,high school,intelligence,debates,5
23,male,high school,intelligence,technology,1
23,male,high school,intelligence,coding,2
23,male,high school,intelligence,innovation,3
23,male,high school,intelligence,science,4
23,male,high school,intelligence,research,5
24,male,high school,intelligence,wisdom,1
24,male,high school,intelligence,problem-solving,2
24,male,high school,intelligence,creativity,3
24,male,high school,intelligence,philosophy,4
24,male,high school,intelligence,history,5
25,male,high school,intelligence,languages,1
25,male,high school,intelligence,memory,2
