participant_id,gender,education,cue,response,response_position
1,male,high school,intelligence,Smart people,1
1,male,high school,intelligence,grades,2
1,male,high school,intelligence,tests,3
1,male,high school,intelligence,college,4
1,male,high school,intelligence,geniuses,5
2,male,high school,intelligence,books,1
2,male,high school,intelligence,IQ,2
2,male,high school,intelligence,problem-solving,3
2,male,high school,intelligence,chess,4
2,male,high school,intelligence,reading,5
3,male,high school,intelligence,scientists,1
3,male,high school,intelligence,Albert Einstein,2
3,male,high school,intelligence,brain games,3
3,male,high school,intelligence,math,4
3,male,high school,intelligence,physics,5
4,male,high school,intelligence,education,1
4,male,high school,intelligence,knowledge,2
4,male,high school,intelligence,success,3
4,male,high school,intelligence,thinking,4
4,male,high school,intelligence,strategy,5
5,male,high school,intelligence,computers,1
5,male,high school,intelligence,technology,2
5,male,high school,intelligence,inventions,3
5,male,high school,intelligence,innovation,4
5,male,high school,intelligence,Elon Musk,5
6,male,high school,intelligence,cleverness,1
6,male,high school,intelligence,school,2
6,male,high school,intelligence,study,3
6,male,high school,intelligence,logic puzzles,4
6,male,high school,intelligence,intelligence agencies,5
7,male,high school,intelligence,history,1
7,male,high school,intelligence,learning,2
7,male,high school,intelligence,professors,3
7,male,high school,intelligence,debate,4
7,male,high school,intelligence,philosophy,5
8,male,high school,intelligence,curiosity,1
8,male,high school,intelligence,artificial intelligence,2
8,male,high school,intelligence,research,3
8,male,high school,intelligence,discovery,4
8,male,high school,intelligence,coding,5
9,male,high school,intelligence,memory,1
9,male,high school,intelligence,concentration,2
9,male,high school,intelligence,analytical abilities,3
9,male,high school,intelligence,critical thinking,4
9,male,high school,intelligence,vocabulary,5
10,male,high school,intelligence,wisdom,1
10,male,high school,intelligence,understanding,2
10,male,high school,intelligence,insights,3
10,male,high school,intelligence,intelligence tests,4
10,male,high school,intelligence,high IQ clubs,5
11,male,high school,intelligence,Einstein,1
11,male,high school,intelligence,smart,2
11,male,high school,intelligence,brain,3
11,male,high school,intelligence,books,4
11,male,high school,intelligence,IQ,5
12,male,high school,intelligence,Sherlock Holmes,1
12,male,high school,intelligence,genius,2
12,male,high school,intelligence,problem-solving,3
12,male,high school,intelligence,mental,4
12,male,high school,intelligence,tests,5
13,male,high school,intelligence,IQ test,1
13,male,high school,intelligence,knowledge,2
13,male,high school,intelligence,reading,3
13,male,high school,intelligence,education,4
13,male,high school,intelligence,professor,5
14,male,high school,intelligence,smart,1
14,male,high school,intelligence,clever,2
14,male,high school,intelligence,innovative,3
14,male,high school,intelligence,tech,4
14,male,high school,intelligence,scientists,5
15,male,high school,intelligence,brain power,1
15,male,high school,intelligence,chess,2
15,male,high school,intelligence,intellectual,3
15,male,high school,intelligence,debate,4
15,male,high school,intelligence,scholar,5
16,male,high school,intelligence,good grades,1
16,male,high school,intelligence,university,2
16,male,high school,intelligence,knowledge,3
16,male,high school,intelligence,wisdom,4
16,male,high school,intelligence,learning,5
17,male,high school,intelligence,tech geniuses,1
17,male,high school,intelligence,inventors,2
17,male,high school,intelligence,wisdom,3
17,male,high school,intelligence,cleverness,4
17,male,high school,intelligence,strategy,5
18,male,high school,intelligence,books,1
18,male,high school,intelligence,education,2
18,male,high school,intelligence,high IQ,3
18,male,high school,intelligence,research,4
18,male,high school,intelligence,academic,5
19,male,high school,intelligence,thinking,1
19,male,high school,intelligence,smart people,2
19,male,high school,intelligence,analysis,3
19,male,high school,intelligence,brainy,4
19,male,high school,intelligence,mathematics,5
20,male,high school,intelligence,clever,1
20,male,high school,intelligence,genius,2
20,male,high school,intelligence,Einstein,3
20,male,high school,intelligence,puzzles,4
20,male,high school,intelligence,intelligence agency,5
21,male,high school,intelligence,1. Smart,1
21,male,high school,intelligence,IQ,2
21,male,high school,intelligence,genius,3
21,male,high school,intelligence,brainy,4
21,male,high school,intelligence,clever,5
22,male,high school,intelligence,2. Einstein,1
22,male,high school,intelligence,college,2
22,male,high school,intelligence,tests,3
22,male,high school,intelligence,knowledge,4
22,male,high school,intelligence,science,5
23,male,high school,intelligence,3. Books,1
23,male,high school,intelligence,reading,2
23,male,high school,intelligence,mathematics,3
23,male,high school,intelligence,professor,4
23,male,high school,intelligence,technology,5
24,male,high school,intelligence,4. Mensa,1
24,male,high school,intelligence,puzzle,2
24,male,high school,intelligence,logic,3
24,male,high school,intelligence,chess,4
24,male,high school,intelligence,debate,5
25,male,high school,intelligence,5. School,1
25,male,high school,intelligence,learning,2
25,male,high school,intelligence,education,3
25,male,high school,intelligence,high grades,4
25,male,high school,intelligence,scholarship,5
26,male,high school,intelligence,6. Sherlock Holmes,1
26,male,high school,intelligence,detective,2
26,male,high school,intelligence,problem-solving,3
26,male,high school,intelligence,critical thinking,4
26,male,high school,intelligence,innovation,5
27,male,high school,intelligence,7. Coding,1
27,male,high school,intelligence,computer,2
27,male,high school,intelligence,invention,3
27,male,high school,intelligence,research,4
27,male,high school,intelligence,discovery,5
28,male,high school,intelligence,8. Wisdom,1
28,male,high school,intelligence,experience,2
28,male,high school,intelligence,observation,3
28,male,high school,intelligence,thinking,4
28,male,high school,intelligence,analysis,5
29,male,high school,intelligence,9. Intelligence agency,1
29,male,high school,intelligence,spy,2
29,male,high school,intelligence,CIA,3
29,male,high school,intelligence,MI6,4
29,male,high school,intelligence,encryption,5
30,male,high school,intelligence,10. Artificial intelligence,1
30,male,high school,intelligence,robots,2
30,male,high school,intelligence,computers,3
30,male,high school,intelligence,software,4
30,male,high school,intelligence,algorithms,5
31,male,high school,intelligence,Smart,1
31,male,high school,intelligence,college,2
31,male,high school,intelligence,books,3
31,male,high school,intelligence,Einstein,4
31,male,high school,intelligence,science,5
32,male,high school,intelligence,Genius,1
32,male,high school,intelligence,tests,2
32,male,high school,intelligence,IQ,3
32,male,high school,intelligence,knowledge,4
32,male,high school,intelligence,professor,5
33,male,high school,intelligence,Brain,1
33,male,high school,intelligence,clever,2
33,male,high school,intelligence,technology,3
33,male,high school,intelligence,innovation,4
33,male,high school,intelligence,learning,5
34,male,high school,intelligence,Reading,1
34,male,high school,intelligence,education,2
34,male,high school,intelligence,degrees,3
34,male,high school,intelligence,mathematics,4
34,male,high school,intelligence,computer,5
35,male,high school,intelligence,Wisdom,1
35,male,high school,intelligence,smart people,2
35,male,high school,intelligence,thinking,3
35,male,high school,intelligence,puzzles,4
35,male,high school,intelligence,chess,5
36,male,high school,intelligence,Albert Einstein,1
36,male,high school,intelligence,success,2
36,male,high school,intelligence,discovery,3
36,male,high school,intelligence,theories,4
36,male,high school,intelligence,experiments,5
37,male,high school,intelligence,Intelligence tests,1
37,male,high school,intelligence,studying,2
37,male,high school,intelligence,scholarships,3
37,male,high school,intelligence,inventions,4
37,male,high school,intelligence,scientists,5
38,male,high school,intelligence,Quiz,1
38,male,high school,intelligence,intelligence agencies,2
38,male,high school,intelligence,code-breaking,3
38,male,high school,intelligence,strategy games,4
38,male,high school,intelligence,intellect,5
39,male,high school,intelligence,Analysis,1
39,male,high school,intelligence,logic,2
39,male,high school,intelligence,reasoning,3
39,male,high school,intelligence,comprehension,4
39,male,high school,intelligence,problem-solving,5
40,male,high school,intelligence,School,1
40,male,high school,intelligence,trivia,2
40,male,high school,intelligence,high IQ,3
40,male,high school,intelligence,curiosity,4
40,male,high school,intelligence,polymath,5
41,male,high school,intelligence,smart,1
41,male,high school,intelligence,education,2
41,male,high school,intelligence,Einstein,3
41,male,high school,intelligence,books,4
41,male,high school,intelligence,IQ,5
42,male,high school,intelligence,brain,1
42,male,high school,intelligence,tests,2
42,male,high school,intelligence,school,3
42,male,high school,intelligence,knowledge,4
42,male,high school,intelligence,science,5
43,male,high school,intelligence,genius,1
43,male,high school,intelligence,problem-solving,2
43,male,high school,intelligence,clever,3
43,male,high school,intelligence,innovation,4
43,male,high school,intelligence,technology,5
44,male,high school,intelligence,IQ score,1
44,male,high school,intelligence,chess,2
44,male,high school,intelligence,university,3
44,male,high school,intelligence,reading,4
44,male,high school,intelligence,analysis,5
45,male,high school,intelligence,wisdom,1
45,male,high school,intelligence,learning,2
45,male,high school,intelligence,degrees,3
45,male,high school,intelligence,professor,4
45,male,high school,intelligence,intelligence agent,5
46,male,high school,intelligence,mental strength,1
46,male,high school,intelligence,puzzles,2
46,male,high school,intelligence,mathematics,3
46,male,high school,intelligence,physics,4
46,male,high school,intelligence,thinking,5
47,male,high school,intelligence,cleverness,1
47,male,high school,intelligence,debate,2
47,male,high school,intelligence,reasoning,3
47,male,high school,intelligence,logic,4
47,male,high school,intelligence,creativity,5
48,male,high school,intelligence,knowledge,1
48,male,high school,intelligence,intellect,2
48,male,high school,intelligence,smart people,3
48,male,high school,intelligence,discoveries,4
48,male,high school,intelligence,intelligence tests,5
49,male,high school,intelligence,intelligence agencies,1
49,male,high school,intelligence,spies,2
49,male,high school,intelligence,coding,3
49,male,high school,intelligence,languages,4
49,male,high school,intelligence,memory,5
50,male,high school,intelligence,scholars,1
50,male,high school,intelligence,research,2
50,male,high school,intelligence,intelligence quotient,3
50,male,high school,intelligence,study,4
50,male,high school,intelligence,breakthroughs,5
51,male,high school,intelligence,Einstein,1
51,male,high school,intelligence,smart,2
51,male,high school,intelligence,college,3
51,male,high school,intelligence,IQ tests,4
51,male,high school,intelligence,thinking fast,5
52,male,high school,intelligence,books,1
52,male,high school,intelligence,genius,2
52,male,high school,intelligence,scientists,3
52,male,high school,intelligence,computer programming,4
52,male,high school,intelligence,math,5
53,male,high school,intelligence,chess,1
53,male,high school,intelligence,puzzles,2
53,male,high school,intelligence,grades,3
53,male,high school,intelligence,university,4
53,male,high school,intelligence,inventions,5
