participant_id,gender,education,cue,response,response_position
1,male,high school,intelligence,Einstein,1
1,male,high school,intelligence,books,2
1,male,high school,intelligence,IQ tests,3
1,male,high school,intelligence,college,4
1,male,high school,intelligence,smart people,5
2,male,high school,intelligence,brain,1
2,male,high school,intelligence,genius,2
2,male,high school,intelligence,technology,3
2,male,high school,intelligence,science,4
2,male,high school,intelligence,puzzles,5
3,male,high school,intelligence,knowledge,1
3,male,high school,intelligence,learning,2
3,male,high school,intelligence,reading,3
3,male,high school,intelligence,math,4
3,male,high school,intelligence,professor,5
4,male,high school,intelligence,IQ,1
4,male,high school,intelligence,chess,2
4,male,high school,intelligence,logic,3
4,male,high school,intelligence,debate,4
4,male,high school,intelligence,computer,5
5,male,high school,intelligence,school,1
5,male,high school,intelligence,education,2
5,male,high school,intelligence,grades,3
5,male,high school,intelligence,university,4
5,male,high school,intelligence,teacher,5
6,male,high school,intelligence,problem-solving,1
6,male,high school,intelligence,critical thinking,2
6,male,high school,intelligence,innovation,3
6,male,high school,intelligence,coding,4
6,male,high school,intelligence,intelligence agency,5
7,male,high school,intelligence,library,1
7,male,high school,intelligence,study,2
7,male,high school,intelligence,intelligence quotient,3
7,male,high school,intelligence,scholarship,4
7,male,high school,intelligence,academic,5
8,male,high school,intelligence,history,1
8,male,high school,intelligence,linguistics,2
8,male,high school,intelligence,psychology,3
8,male,high school,intelligence,philosophy,4
8,male,high school,intelligence,neuroscience,5
9,male,high school,intelligence,smartwatch,1
9,male,high school,intelligence,artificial intelligence,2
9,male,high school,intelligence,research,3
9,male,high school,intelligence,discoveries,4
9,male,high school,intelligence,inventions,5
10,male,high school,intelligence,Mensa,1
10,male,high school,intelligence,trivia,2
10,male,high school,intelligence,quantum physics,3
10,male,high school,intelligence,analytics,4
10,male,high school,intelligence,strategy games,5
11,male,high school,intelligence,Einstein,1
11,male,high school,intelligence,smart,2
11,male,high school,intelligence,IQ,3
11,male,high school,intelligence,tests,4
11,male,high school,intelligence,book smart,5
12,male,high school,intelligence,brains,1
12,male,high school,intelligence,genius,2
12,male,high school,intelligence,knowledge,3
12,male,high school,intelligence,reading,4
12,male,high school,intelligence,wisdom,5
13,male,high school,intelligence,Stephen Hawking,1
13,male,high school,intelligence,clever,2
13,male,high school,intelligence,education,3
13,male,high school,intelligence,high scores,4
13,male,high school,intelligence,mental,5
14,male,high school,intelligence,intellectuals,1
14,male,high school,intelligence,problem-solving,2
14,male,high school,intelligence,savvy,3
14,male,high school,intelligence,learning,4
14,male,high school,intelligence,school,5
15,male,high school,intelligence,success,1
15,male,high school,intelligence,nerd,2
15,male,high school,intelligence,thinking,3
15,male,high school,intelligence,comprehension,4
15,male,high school,intelligence,understanding,5
16,male,high school,intelligence,technology,1
16,male,high school,intelligence,innovation,2
16,male,high school,intelligence,creativity,3
16,male,high school,intelligence,insight,4
16,male,high school,intelligence,logic,5
17,male,high school,intelligence,mastery,1
17,male,high school,intelligence,scholars,2
17,male,high school,intelligence,expertise,3
17,male,high school,intelligence,intelligence agencies,4
17,male,high school,intelligence,cunning,5
18,male,high school,intelligence,bright,1
18,male,high school,intelligence,understanding,2
18,male,high school,intelligence,aptitude,3
18,male,high school,intelligence,scholarships,4
18,male,high school,intelligence,analysis,5
19,male,high school,intelligence,competition,1
19,male,high school,intelligence,strategy,2
19,male,high school,intelligence,apt brain,3
19,male,high school,intelligence,achievements,4
19,male,high school,intelligence,curiosity,5
20,male,high school,intelligence,observation,1
20,male,high school,intelligence,quick-witted,2
20,male,high school,intelligence,informed,3
20,male,high school,intelligence,puzzles,4
20,male,high school,intelligence,street-smart,5
21,male,high school,intelligence,Smart people,1
21,male,high school,intelligence,school,2
21,male,high school,intelligence,tests,3
21,male,high school,intelligence,Albert Einstein,4
21,male,high school,intelligence,AI,5
22,male,high school,intelligence,books,1
22,male,high school,intelligence,college,2
22,male,high school,intelligence,genius,3
22,male,high school,intelligence,IQ,4
22,male,high school,intelligence,brain,5
23,male,high school,intelligence,learning,1
23,male,high school,intelligence,professors,2
23,male,high school,intelligence,technology,3
23,male,high school,intelligence,scientists,4
23,male,high school,intelligence,grades,5
24,male,high school,intelligence,knowledge,1
24,male,high school,intelligence,puzzles,2
24,male,high school,intelligence,chess,3
24,male,high school,intelligence,education,4
24,male,high school,intelligence,logic,5
25,male,high school,intelligence,wisdom,1
25,male,high school,intelligence,analysis,2
25,male,high school,intelligence,problem-solving,3
