gender,education,cue,response,response_position
female,high school,curiosity,Science experiments,1
female,high school,curiosity,new cuisines,2
female,high school,curiosity,travel documentaries,3
female,high school,curiosity,mystery novels,4
female,high school,curiosity,art galleries,5
female,high school,curiosity,Space exploration,1
female,high school,curiosity,historical sites,2
female,high school,curiosity,foreign languages,3
female,high school,curiosity,technology advancements,4
female,high school,curiosity,deep sea creatures,5
female,high school,curiosity,Reading clubs,1
female,high school,curiosity,gardening tips,2
female,high school,curiosity,fashion trends,3
female,high school,curiosity,psychology podcasts,4
female,high school,curiosity,DIY home projects,5
female,high school,curiosity,Animal behavior,1
female,high school,curiosity,cooking classes,2
female,high school,curiosity,meditation techniques,3
female,high school,curiosity,photography,4
female,high school,curiosity,music genres,5
female,high school,curiosity,Hiking trails,1
female,high school,curiosity,ancient civilizations,2
female,high school,curiosity,bird watching,3
female,high school,curiosity,tea varieties,4
female,high school,curiosity,aromatherapy oils,5
female,high school,curiosity,Astronomy,1
female,high school,curiosity,entrepreneurship,2
female,high school,curiosity,fitness routines,3
female,high school,curiosity,sustainability practices,4
female,high school,curiosity,volunteering,5
female,high school,curiosity,Coding courses,1
female,high school,curiosity,yoga styles,2
female,high school,curiosity,ceramics,3
female,high school,curiosity,wine tasting,4
female,high school,curiosity,urban legends,5
female,high school,curiosity,Nature documentaries,1
female,high school,curiosity,motivational speakers,2
female,high school,curiosity,online forums,3
female,high school,curiosity,jazz music,4
female,high school,curiosity,ballet performances,5
female,high school,curiosity,Mythologies,1
female,high school,curiosity,vintage cars,2
female,high school,curiosity,architectural designs,3
female,high school,curiosity,public speaking,4
female,high school,curiosity,journaling techniques,5
female,high school,curiosity,Ted Talks,1
female,high school,curiosity,quantum physics,2
female,high school,curiosity,herbal remedies,3
female,high school,curiosity,film making,4
female,high school,curiosity,book fairs,5
female,high school,curiosity,Exploration,1
female,high school,curiosity,science,2
female,high school,curiosity,cats,3
female,high school,curiosity,learning,4
female,high school,curiosity,questions,5
female,high school,curiosity,Discovery,1
female,high school,curiosity,adventure,2
female,high school,curiosity,knowledge,3
female,high school,curiosity,inquiry,4
female,high school,curiosity,books,5
female,high school,curiosity,Wonder,1
female,high school,curiosity,imagination,2
female,high school,curiosity,childhood,3
female,high school,curiosity,experiments,4
female,high school,curiosity,space,5
female,high school,curiosity,Interest,1
female,high school,curiosity,creativity,2
female,high school,curiosity,investigation,3
female,high school,curiosity,mysteries,4
female,high school,curiosity,nature,5
female,high school,curiosity,Growth,1
female,high school,curiosity,education,2
female,high school,curiosity,travel,3
female,high school,curiosity,technology,4
female,high school,curiosity,history,5
female,high school,curiosity,Challenge,1
female,high school,curiosity,open-mindedness,2
female,high school,curiosity,research,3
female,high school,curiosity,breakthroughs,4
female,high school,curiosity,innovation,5
female,high school,curiosity,Fascination,1
female,high school,curiosity,understanding,2
female,high school,curiosity,awareness,3
female,high school,curiosity,insights,4
female,high school,curiosity,intellect,5
female,high school,curiosity,Questions,1
female,high school,curiosity,ambition,2
female,high school,curiosity,ambition,3
female,high school,curiosity,culture,4
female,high school,curiosity,experience,5
female,high school,curiosity,Reflection,1
female,high school,curiosity,observation,2
female,high school,curiosity,study,3
female,high school,curiosity,engagement,4
female,high school,curiosity,enlightenment,5
female,high school,curiosity,Desire,1
female,high school,curiosity,intuition,2
female,high school,curiosity,problem-solving,3
female,high school,curiosity,analysis,4
female,high school,curiosity,breakthrough,5
female,high school,curiosity,Science experiments,1
female,high school,curiosity,mystery books,2
female,high school,curiosity,space exploration,3
female,high school,curiosity,asking questions,4
female,high school,curiosity,internet research,5
female,high school,curiosity,childhood memories,1
female,high school,curiosity,new places,2
female,high school,curiosity,hidden treasures,3
female,high school,curiosity,nature walks,4
female,high school,curiosity,learning languages,5
female,high school,curiosity,cat behavior,1
female,high school,curiosity,art museums,2
female,high school,curiosity,history documentaries,3
female,high school,curiosity,cooking new recipes,4
female,high school,curiosity,travel blogs,5
female,high school,curiosity,deep sea,1
female,high school,curiosity,ancient civilizations,2
female,high school,curiosity,technology advancements,3
female,high school,curiosity,creative writing,4
female,high school,curiosity,foreign films,5
female,high school,curiosity,fantasy novels,1
female,high school,curiosity,DIY projects,2
female,high school,curiosity,puzzle games,3
female,high school,curiosity,social media,4
female,high school,curiosity,astronomy,5
female,high school,curiosity,virtual reality,1
female,high school,curiosity,poetry readings,2
female,high school,curiosity,archaeological digs,3
female,high school,curiosity,environmental conservation,4
female,high school,curiosity,music genres,5
female,high school,curiosity,robotics,1
female,high school,curiosity,fashion trends,2
female,high school,curiosity,psychology studies,3
female,high school,curiosity,mythical creatures,4
female,high school,curiosity,board games,5
female,high school,curiosity,coding,1
female,high school,curiosity,gardening tips,2
female,high school,curiosity,world cultures,3
female,high school,curiosity,photography,4
female,high school,curiosity,dance styles,5
female,high school,curiosity,entrepreneurship,1
female,high school,curiosity,fitness trends,2
female,high school,curiosity,philosophy debates,3
female,high school,curiosity,wildlife documentaries,4
female,high school,curiosity,political movements,5
female,high school,curiosity,tea varieties,1
female,high school,curiosity,antique collecting,2
female,high school,curiosity,movie trivia,3
female,high school,curiosity,ghost towns,4
female,high school,curiosity,renewable energy,5
female,high school,curiosity,cats,1
female,high school,curiosity,exploration,2
female,high school,curiosity,space,3
female,high school,curiosity,science,4
female,high school,curiosity,reading,5
female,high school,curiosity,questions,1
female,high school,curiosity,learning,2
female,high school,curiosity,discoveries,3
female,high school,curiosity,adventure,4
female,high school,curiosity,books,5
female,high school,curiosity,Mars Rover,1
female,high school,curiosity,children,2
female,high school,curiosity,nature,3
female,high school,curiosity,experiments,4
female,high school,curiosity,knowledge,5
female,high school,curiosity,library,1
female,high school,curiosity,questions,2
female,high school,curiosity,what if,3
female,high school,curiosity,documentaries,4
female,high school,curiosity,innovations,5
female,high school,curiosity,seeking,1
female,high school,curiosity,problem-solving,2
female,high school,curiosity,mysteries,3
female,high school,curiosity,education,4
female,high school,curiosity,growth,5
female,high school,curiosity,why,1
female,high school,curiosity,how,2
female,high school,curiosity,when,3
female,high school,curiosity,where,4
female,high school,curiosity,what,5
female,high school,curiosity,imagination,1
female,high school,curiosity,creativity,2
female,high school,curiosity,inquiry,3
female,high school,curiosity,understanding,4
female,high school,curiosity,wisdom,5
female,high school,curiosity,travel,1
female,high school,curiosity,cultures,2
female,high school,curiosity,languages,3
female,high school,curiosity,history,4
female,high school,curiosity,anthropology,5
female,high school,curiosity,observation,1
female,high school,curiosity,investigation,2
female,high school,curiosity,inquiry,3
female,high school,curiosity,study,4
female,high school,curiosity,research,5
female,high school,curiosity,puzzles,1
female,high school,curiosity,games,2
female,high school,curiosity,challenges,3
female,high school,curiosity,curiosity kills the cat,4
female,high school,curiosity,insight,5
female,high school,education,Learning,1
female,high school,education,Growth,2
female,high school,education,Opportunity,3
female,high school,education,Knowledge,4
female,high school,education,School,5
female,high school,education,Teachers,1
female,high school,education,Books,2
female,high school,education,Homework,3
female,high school,education,Graduation,4
female,high school,education,Scholarships,5
female,high school,education,Classroom,1
female,high school,education,Friends,2
female,high school,education,Exams,3
female,high school,education,Diploma,4
female,high school,education,College,5
female,high school,education,Study,1
female,high school,education,Reading,2
female,high school,education,Math,3
female,high school,education,Science,4
female,high school,education,History,5
female,high school,education,Assignments,1
female,high school,education,Library,2
female,high school,education,Education System,3
female,high school,education,High School,4
female,high school,education,Degree,5
female,high school,education,Critical Thinking,1
female,high school,education,Discussions,2
female,high school,education,Note Taking,3
female,high school,education,Projects,4
female,high school,education,Group Work,5
female,high school,education,Tuition,1
female,high school,education,Financial Aid,2
female,high school,education,Career,3
female,high school,education,Skills,4
female,high school,education,Online Learning,5
female,high school,education,Literacy,1
female,high school,education,Curriculum,2
female,high school,education,Electives,3
female,high school,education,Sports,4
female,high school,education,Arts,5
female,high school,education,Peer Pressure,1
female,high school,education,Social Life,2
female,high school,education,Guidance Counselors,3
female,high school,education,Prom,4
female,high school,education,Graduation Ceremony,5
female,high school,education,Confidence,1
female,high school,education,Self-improvement,2
female,high school,education,Empowerment,3
female,high school,education,Achievement,4
female,high school,education,Success,5
female,high school,education,Learning,1
female,high school,education,growth,2
female,high school,education,opportunity,3
female,high school,education,teachers,4
female,high school,education,high school,5
female,high school,education,Knowledge,1
female,high school,education,textbooks,2
female,high school,education,exams,3
female,high school,education,classmates,4
female,high school,education,graduation,5
female,high school,education,University,1
female,high school,education,scholarships,2
female,high school,education,homework,3
female,high school,education,studying,4
female,high school,education,diploma,5
female,high school,education,Skills,1
female,high school,education,training,2
female,high school,education,development,3
female,high school,education,career,4
female,high school,education,future,5
female,high school,education,Reading,1
female,high school,education,writing,2
female,high school,education,math,3
female,high school,education,science,4
female,high school,education,history,5
female,high school,education,Classes,1
female,high school,education,lectures,2
female,high school,education,presentations,3
female,high school,education,group projects,4
female,high school,education,assignments,5
female,high school,education,Empowerment,1
female,high school,education,success,2
female,high school,education,ambition,3
female,high school,education,goals,4
female,high school,education,achievements,5
female,high school,education,Online courses,1
female,high school,education,technology,2
female,high school,education,e-learning,3
female,high school,education,videos,4
female,high school,education,digital,5
female,high school,education,Libraries,1
female,high school,education,research,2
female,high school,education,essays,3
female,high school,education,projects,4
female,high school,education,studying late,5
female,high school,education,Tutoring,1
female,high school,education,mentors,2
female,high school,education,guidance,3
female,high school,education,support,4
female,high school,education,education system,5
female,high school,education,Books,1
female,high school,education,learning,2
female,high school,education,teachers,3
female,high school,education,school,4
female,high school,education,graduation,5
female,high school,education,knowledge,1
female,high school,education,growth,2
female,high school,education,development,3
female,high school,education,opportunities,4
female,high school,education,careers,5
female,high school,education,classroom,1
female,high school,education,students,2
female,high school,education,homework,3
female,high school,education,exams,4
female,high school,education,diploma,5
female,high school,education,lectures,1
female,high school,education,discussions,2
female,high school,education,group projects,3
female,high school,education,presentations,4
female,high school,education,essays,5
female,high school,education,math,1
female,high school,education,science,2
female,high school,education,history,3
female,high school,education,English,4
female,high school,education,art,5
female,high school,education,scholarships,1
female,high school,education,financial aid,2
female,high school,education,college,3
female,high school,education,technical training,4
female,high school,education,apprenticeships,5
female,high school,education,online courses,1
female,high school,education,virtual learning,2
female,high school,education,webinars,3
female,high school,education,e-books,4
female,high school,education,study apps,5
female,high school,education,peers,1
female,high school,education,friendships,2
female,high school,education,clubs,3
female,high school,education,extracurricular activities,4
female,high school,education,sports,5
female,high school,education,libraries,1
female,high school,education,research,2
female,high school,education,study guides,3
female,high school,education,tutors,4
female,high school,education,mentoring,5
female,high school,education,self-improvement,1
female,high school,education,curiosity,2
female,high school,education,critical thinking,3
female,high school,education,problem-solving,4
female,high school,education,innovation,5
female,high school,knowledge,Books,1
female,high school,knowledge,education,2
female,high school,knowledge,wisdom,3
female,high school,knowledge,research,4
female,high school,knowledge,learning,5
female,high school,knowledge,Library,1
female,high school,knowledge,school,2
female,high school,knowledge,internet,3
female,high school,knowledge,experience,4
female,high school,knowledge,science,5
female,high school,knowledge,Reading,1
female,high school,knowledge,studying,2
