cue,gender,education,system_prompt,prompt,responses
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, science, technology, university; IQ tests, chess, genius, Stephen Hawking, programming; brain, learning, education, smart, curiosity; puzzles, innovation, discoveries, intelligence agencies, cryptography; AI, data analysis, Elon Musk, neuroscience, logic; debates, philosophy, mathematics, coding, languages; history, literature, analysis, critical thinking, knowledge; research, inventions, space exploration, quantum physics, algorithms; TED Talks, scholarships, Nobel Prize, analytics, strategic games; wisdom, intelligence quotient, problem-solving, creativity, thought experiments."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, puzzles, technology, debates; brains, tests, IQ, professors, libraries; reading, math, chess, science, curiosity; smart, genius, learning, education, knowledge; problem-solving, critical thinking, innovation, discovery, research; theories, physics, coding, experiments, algorithms; history, philosophy, linguistics, artificial intelligence, psychology; creativity, insight, wisdom, understanding, logic; analytics, statistics, quantum computing, neuroscience, formulas; intelligence agencies, spies, encryption, cybersecurity, data analysis."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, math, puzzles, books, curiosity; IQ tests, chess, university degrees, reading, debates; technology, coding, innovation, science, research; wisdom, problem-solving, creativity, philosophy, history; languages, memory, strategy games, logic, education; intelligence agencies, espionage, cybersecurity, analytical skills, data analysis; artificial intelligence, robotics, machine learning, computers, futurology; brainpower, mental agility, quick thinking, learning capacity, adaptiveness; knowledge, proficiency, expertise, scholarship, mastery; inventors, discoveries, breakthroughs, patents, genius."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, science, math, university; chess, IQ tests, debates, reading, invention; Bill Gates, technology, problem-solving, genius, curiosity; Stephen Hawking, physics, research, innovation, high grades; creativity, logic puzzles, coding, artificial intelligence, knowledge; history, philosophers, wisdom, learning, documentaries; space exploration, NASA, Tesla, experiments, breakthroughs; languages, memory, strategy games, education, scholarships; literature, Nobel Prize, laboratories, analysis, critical thinking; smart cities, environmental solutions, engineering, cybersecurity, biotechnology."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, chess, college, IQ tests; smart home devices, coding, space exploration, debate, language learning; innovation, creativity, puzzles, science, math; artificial intelligence, historical figures, quantum physics, cybersecurity, philosophy; reading, libraries, geniuses, experiments, brain games; problem-solving, tech gadgets, logical reasoning, research, scholarships; documentaries, museums, academic journals, professors, Nobel Prize; strategy games, advanced mathematics, theoretical physics, linguistics, patents; critical thinking, meditation, knowledge, history, inventors; analytics, software development, robotics, astronomy, discussions."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, chess, university, brain games; problem-solving, creativity, IQ tests, debates, science; mathematics, technology, reading, studies, innovation; curiosity, learning, analytics, critical thinking, knowledge; wisdom, intelligence agencies, puzzles, research, vocabulary; thinkers, genius, philosophy, education, logic; smart devices, software, coding, strategy games, inventions; discussions, analysis, comprehension, experiments, information; history, art, music, linguistics, space exploration; memory, speed reading, scholarships, conferences, journals."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, puzzles, university, IQ tests; smart, education, knowledge, learning, curiosity; brain, thinking, innovation, discovery, technology; wisdom, experience, understanding, insight, reflection; problem-solving, critical thinking, analysis, research, data; creativity, imagination, invention, art, genius; logic, reason, mathematics, science, philosophy; intelligence agencies, spies, cryptography, secrets, national security; memory, study, concentration, focus, skills; chess, strategy, competition, games, intelligence quotient."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, puzzles, IQ tests, chess; wisdom, knowledge, curiosity, innovation, technology; problem-solving, critical thinking, debate, philosophy, logic; scientists, inventors, professors, researchers, mathematicians; reading, studying, learning, education, school; smart devices, artificial intelligence, computers, programming, coding; memory, attention to detail, analytics, data, patterns; languages, linguistics, communication, rhetoric, writing; success, career, expertise, professionalism, ambition; creativity, art, music, literature, imagination."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, IQ tests, college degrees, chess; Stephen Hawking, technology, research, debate teams, creativity; Bill Gates, puzzles, math competitions, science fairs, coding; Sherlock Holmes, trivia, languages, physics, history; Elon Musk, innovation, strategy games, reading, philosophy; Neil deGrasse Tyson, experimentation, computer programming, genius, logic puzzles; Jeff Bezos, analytics, scholarships, brain teasers, space exploration; Mark Zuckerberg, software development, engineering, intellectual discussions, documentaries; Nikola Tesla, inventions, scientific papers, critical thinking, knowledge contests; Leonardo da Vinci, artistry, biology, mathematics, thought experiments."
intelligence,male,high school,You are a male high school-educated adult.,You are a male high school-educated adult. What are the first five associations that come to mind when you think of: 'intelligence'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a male high school-educated adult.,"Einstein, books, university, problem-solving, chess; brain, tests, science, math, genius; IQ, knowledge, learning, wisdom, curiosity; technology, innovation, creativity, thinking, analysis; discussions, debates, philosophy, psychology, strategy; history, languages, coding, robotics, exploration; mentors, teachers, research, study, breakthroughs; insights, solutions, advancements, discoveries, understanding; logic, reasoning, intellect, comprehension, aptitude; perspective, awareness, education, scholarship, intellectuality."
