cue,gender,education,prompt,responses
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Smart people, grades, tests, college, geniuses; books, IQ, problem-solving, chess, reading; scientists, Albert Einstein, brain games, math, physics; education, knowledge, success, thinking, strategy; computers, technology, inventions, innovation, Elon Musk; cleverness, school, study, logic puzzles, intelligence agencies; history, learning, professors, debate, philosophy; curiosity, artificial intelligence, research, discovery, coding; memory, concentration, analytical abilities, critical thinking, vocabulary; wisdom, understanding, insights, intelligence tests, high IQ clubs."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, brain, books, IQ; Sherlock Holmes, genius, problem-solving, mental, tests; IQ test, knowledge, reading, education, professor; smart, clever, innovative, tech, scientists; brain power, chess, intellectual, debate, scholar; good grades, university, knowledge, wisdom, learning; tech geniuses, inventors, wisdom, cleverness, strategy; books, education, high IQ, research, academic; thinking, smart people, analysis, brainy, mathematics; clever, genius, Einstein, puzzles, intelligence agency."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"1. Smart, IQ, genius, brainy, clever; 
2. Einstein, college, tests, knowledge, science; 
3. Books, reading, mathematics, professor, technology; 
4. Mensa, puzzle, logic, chess, debate; 
5. School, learning, education, high grades, scholarship; 
6. Sherlock Holmes, detective, problem-solving, critical thinking, innovation; 
7. Coding, computer, invention, research, discovery; 
8. Wisdom, experience, observation, thinking, analysis; 
9. Intelligence agency, spy, CIA, MI6, encryption; 
10. Artificial intelligence, robots, computers, software, algorithms."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Smart, college, books, Einstein, science; Genius, tests, IQ, knowledge, professor; Brain, clever, technology, innovation, learning; Reading, education, degrees, mathematics, computer; Wisdom, smart people, thinking, puzzles, chess; Albert Einstein, success, discovery, theories, experiments; Intelligence tests, studying, scholarships, inventions, scientists; Quiz, intelligence agencies, code-breaking, strategy games, intellect; Analysis, logic, reasoning, comprehension, problem-solving; School, trivia, high IQ, curiosity, polymath."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"smart, education, Einstein, books, IQ; brain, tests, school, knowledge, science; genius, problem-solving, clever, innovation, technology; IQ score, chess, university, reading, analysis; wisdom, learning, degrees, professor, intelligence agent; mental strength, puzzles, mathematics, physics, thinking; cleverness, debate, reasoning, logic, creativity; knowledge, intellect, smart people, discoveries, intelligence tests; intelligence agencies, spies, coding, languages, memory; scholars, research, intelligence quotient, study, breakthroughs."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, college, IQ tests, thinking fast; books, genius, scientists, computer programming, math; chess, puzzles, grades, university, inventions; technology, reading, critical thinking, astrophysics, logic; history knowledge, vocabulary, debate, creativity, analyzing data; problem solving, strategy games, learning, curiosity, innovation; mathematics, coding, trivia, philosophy, study; knowledge, intelligence agencies, physics, research, education; high IQ, Mensa, scholarships, artificial intelligence, neuroscience; wisdom, brainpower, Elon Musk, theoretical physics, experiments."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, books, IQ tests, college; genius, brain, learning, science, math; clever, problem-solving, wisdom, knowledge, technology; intelligent design, chess, university, innovation, curiosity; high grades, debate club, logic puzzles, reading, computer programming; Stephen Hawking, NASA, artificial intelligence, research, coding; analytics, thinking, educated, diploma, libraries; inventions, philosophers, physics, intelligence agency, data analysis; mental agility, strategy games, documentaries, academic journals, scholarships; Mensa, neuroscience, critical thinking, linguistics, expertise"
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Smart people, high IQ, Einstein, college degrees, solving problems; books, science, math, technology, chess; knowledge, learning, genius, tests, grades; computers, NASA, professors, research, coding; thinking, brainpower, puzzles, intelligence agencies, logic; education, scholarships, PhDs, inventors, innovations; history, literature, psychology, philosophy, debates; robots, AI, brain games, memory, creativity; linguistics, quantum physics, medicine, engineering, analytics; wisdom, critical thinking, curiosity, understanding, insight."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, books, IQ, genius; brain, tests, math, science, reading; clever, quick, puzzle, knowledge, education; think, smart people, grades, college, high IQ; technology, inventors, discovery, research, innovation; analysis, logical, reasoning, problem-solving, intellect; wisdom, understanding, learning, intelligence tests, scholars; memory, cleverness, smartness, savvy, wit; professor, scientist, engineer, doctor, mathematician; curiosity, study, educated, brains, intelligent conversation."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, IQ, books, technology; brains, genius, exams, computers, science; thinking, clever, tests, knowledge, learning; smartwatch, innovation, brainstorm, analysis, strategy; intelligence agency, code, puzzle, logic, math; reading, school, wisdom, invent, curiosity; chess, intelligence test, study, problem-solving, experiments; artificial intelligence, brainpower, educated, research, innovation; nerds, genius, intelligence quotient, scholarships, university; intellect, smart people, high scores, trivia, inventions."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, IQ tests, science, smart people, computers; books, college, knowledge, brain, genius; Stephen Hawking, reading, mathematics, logic, analytics; problem-solving, chess, technology, innovation, curiosity; intelligence agencies, spy movies, code-breaking, high tech, cybersecurity; debates, philosophy, vocabulary, discussions, thought experiments; science fiction, AI, robotics, future technology, space exploration; history, literature, experts, professors, education; puzzles, games, strategy, critical thinking, IQ scores; trivia, memory, learning, understanding, insight."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, high IQ, college degree, science; books, clever, problem-solving, knowledge, wisdom; genius, innovation, technology, quick thinker, logical; Stephen Hawking, educated, brainy, analytical, high grades; entrepreneurship, successful, intellectual, chess, mathematics; curiosity, learning, understanding, genius, inventiveness; Sherlock Holmes, strategy, intelligence agency, spy, deduction; reading, school, professor, expertise, Albert Einstein; Mensa, IQ test, debate, critical thinking, scholarships; programming, artificial intelligence, hacking, software, innovation."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, IQ tests, college, reading; brains, math, scientists, technology, logic; genius, knowledge, study, books, clever; intelligence agency, spies, secrets, government, codes; problem-solving, critical thinking, analysis, reasoning, innovation; chess, high scores, trivia, puzzles, strategy games; technology, computers, software, programming, internet; history, learning, education, degrees, lectures; robots, AI, future, science fiction, automation; wisdom, life experience, street smarts, intuition, understanding."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, tests, college, books; IQ, genius, math, science, study; brain, knowledge, learning, reading, education; computers, technology, innovation, inventing, coding; problem-solving, puzzles, chess, strategy, logic; professors, researchers, scholars, academia, degrees; analytics, data, research, intelligence agencies, spies; creativity, writing, arts, design, imagination; history, geography, linguistics, literature, philosophy; robots, AI, machine learning, future, tech advancements."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, IQ tests, smart, math, reading; brain, college, chess, genius, technology; science, books, university, knowledge, puzzles; Stephen Hawking, innovation, education, analytics, coding; knowledge, wisdom, learning, academia, intellect; research, curiosity, thinking, problem-solving, philosophy; Bill Gates, study, logic, theory, understanding; invention, discovery, analysis, rationality, expertise; memory, concentration, debate, scholarship, creativity; intelligence agencies, data, artificial intelligence, strategy, insights"
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, college, books, tests; brains, genius, IQ, learning, knowledge; Sherlock Holmes, detective, problem-solving, logic, clever; tech, computers, coding, innovation, science; professor, university, advanced degrees, lectures, studies; chess, strategy, critical thinking, competition, skill; Elon Musk, inventor, billionaire, technology, entrepreneur; math, physics, formulas, theories, solutions; reading, vocabulary, comprehension, literature, education; success, career, achievements, intelligence agency, awards."
