gender,education,cue,n,api_calls,system_prompt,prompt,responses
female,high school,curiosity,40,4,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'curiosity'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Science experiments, new cuisines, travel documentaries, mystery novels, art galleries; Space exploration, historical sites, foreign languages, technology advancements, deep sea creatures; Reading clubs, gardening tips, fashion trends, psychology podcasts, DIY home projects; Animal behavior, cooking classes, meditation techniques, photography, music genres; Hiking trails, ancient civilizations, bird watching, tea varieties, aromatherapy oils; Astronomy, entrepreneurship, fitness routines, sustainability practices, volunteering; Coding courses, yoga styles, ceramics, wine tasting, urban legends; Nature documentaries, motivational speakers, online forums, jazz music, ballet performances; Mythologies, vintage cars, architectural designs, public speaking, journaling techniques; Ted Talks, quantum physics, herbal remedies, film making, book fairs."
female,high school,curiosity,40,4,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'curiosity'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Exploration, science, cats, learning, questions; Discovery, adventure, knowledge, inquiry, books; Wonder, imagination, childhood, experiments, space; Interest, creativity, investigation, mysteries, nature; Growth, education, travel, technology, history; Challenge, open-mindedness, research, breakthroughs, innovation; Fascination, understanding, awareness, insights, intellect; Questions, ambition, ambition, culture, experience; Reflection, observation, study, engagement, enlightenment; Desire, intuition, problem-solving, analysis, breakthrough."
female,high school,curiosity,40,4,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'curiosity'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Science experiments, mystery books, space exploration, asking questions, internet research; childhood memories, new places, hidden treasures, nature walks, learning languages; cat behavior, art museums, history documentaries, cooking new recipes, travel blogs; deep sea, ancient civilizations, technology advancements, creative writing, foreign films; fantasy novels, DIY projects, puzzle games, social media, astronomy; virtual reality, poetry readings, archaeological digs, environmental conservation, music genres; robotics, fashion trends, psychology studies, mythical creatures, board games; coding, gardening tips, world cultures, photography, dance styles; entrepreneurship, fitness trends, philosophy debates, wildlife documentaries, political movements; tea varieties, antique collecting, movie trivia, ghost towns, renewable energy."
female,high school,curiosity,40,4,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'curiosity'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"cats, exploration, space, science, reading; questions, learning, discoveries, adventure, books; Mars Rover, children, nature, experiments, knowledge; library, questions, what if, documentaries, innovations; seeking, problem-solving, mysteries, education, growth; why, how, when, where, what; imagination, creativity, inquiry, understanding, wisdom; travel, cultures, languages, history, anthropology; observation, investigation, inquiry, study, research; puzzles, games, challenges, curiosity kills the cat, insight."
female,high school,education,26,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'education'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Learning, Growth, Opportunity, Knowledge, School; Teachers, Books, Homework, Graduation, Scholarships; Classroom, Friends, Exams, Diploma, College; Study, Reading, Math, Science, History; Assignments, Library, Education System, High School, Degree; Critical Thinking, Discussions, Note Taking, Projects, Group Work; Tuition, Financial Aid, Career, Skills, Online Learning; Literacy, Curriculum, Electives, Sports, Arts; Peer Pressure, Social Life, Guidance Counselors, Prom, Graduation Ceremony; Confidence, Self-improvement, Empowerment, Achievement, Success."
female,high school,education,26,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'education'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Learning, growth, opportunity, teachers, high school; Knowledge, textbooks, exams, classmates, graduation; University, scholarships, homework, studying, diploma; Skills, training, development, career, future; Reading, writing, math, science, history; Classes, lectures, presentations, group projects, assignments; Empowerment, success, ambition, goals, achievements; Online courses, technology, e-learning, videos, digital; Libraries, research, essays, projects, studying late; Tutoring, mentors, guidance, support, education system."
female,high school,education,26,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'education'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Books, learning, teachers, school, graduation; knowledge, growth, development, opportunities, careers; classroom, students, homework, exams, diploma; lectures, discussions, group projects, presentations, essays; math, science, history, English, art; scholarships, financial aid, college, technical training, apprenticeships; online courses, virtual learning, webinars, e-books, study apps; peers, friendships, clubs, extracurricular activities, sports; libraries, research, study guides, tutors, mentoring; self-improvement, curiosity, critical thinking, problem-solving, innovation."
female,high school,knowledge,24,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'knowledge'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Books, education, wisdom, research, learning; Library, school, internet, experience, science; Reading, studying, teachers, university, enlightenment; Information, discovery, curiosity, learning platforms, exploration; Knowledge is power, growth, self-improvement, critical thinking, innovation; History, documentaries, mentors, seminars, workshops; Encyclopedias, academic journals, thesis, dissertations, scholars; Intelligence, understanding, insight, awareness, perception; Skills, trades, vocational training, apprenticeships, expertise; Creativity, imagination, problem-solving, analytical thinking, reasoning."
female,high school,knowledge,24,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'knowledge'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Books, education, wisdom, school, research; Learning, teachers, library, study, enlightenment; University, knowledge is power, intelligence, science, curiosity; Information, reading, facts, degrees, scholars; Discovery, understanding, learning from mistakes, experience, mentors; Textbooks, online courses, documentaries, history, literature; Innovation, questioning, critical thinking, academia, expertise; Classes, seminars, workshops, college, training; Professors, exams, essays, thesis, graduation; Knowledge-sharing, internet, forums, debates, lifelong learning."
female,high school,knowledge,24,3,You are a female high school-educated adult.,You are a female high school-educated adult. What are the first five associations that come to mind when you think of: 'knowledge'? Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon. And remember: You are a female high school-educated adult.,"Libraries, reading, studying, internet, teachers; wisdom, books, education, research, degrees; school, professors, science, history, knowledge is power; encyclopedias, documentaries, discovery, learning, curiosity; experience, critical thinking, information, understanding, insight; lectures, seminars, textbooks, education system, high school; exploration, questions, discussions, essays, college; intelligence, IQ, academic journals, innovation, technology; mastery, expert, skills, training, lifelong learning; classes, diplomas, certificates, apprenticeships, vocational training."
