participant_id,gender,education,cue,response,response_position,response_level
1,male,high school,intelligence,Einstein,1,1
1,male,high school,intelligence,books,2,1
1,male,high school,intelligence,science,3,1
1,male,high school,intelligence,technology,4,1
1,male,high school,intelligence,university,5,1
2,male,high school,intelligence,IQ tests,1,1
2,male,high school,intelligence,chess,2,1
2,male,high school,intelligence,genius,3,1
2,male,high school,intelligence,Stephen Hawking,4,1
2,male,high school,intelligence,programming,5,1
3,male,high school,intelligence,brain,1,1
3,male,high school,intelligence,learning,2,1
3,male,high school,intelligence,education,3,1
3,male,high school,intelligence,smart,4,1
3,male,high school,intelligence,curiosity,5,1
4,male,high school,intelligence,puzzles,1,1
4,male,high school,intelligence,innovation,2,1
4,male,high school,intelligence,discoveries,3,1
4,male,high school,intelligence,intelligence agencies,4,1
4,male,high school,intelligence,cryptography,5,1
5,male,high school,intelligence,AI,1,1
5,male,high school,intelligence,data analysis,2,1
5,male,high school,intelligence,Elon Musk,3,1
5,male,high school,intelligence,neuroscience,4,1
5,male,high school,intelligence,logic,5,1
6,male,high school,intelligence,debates,1,1
6,male,high school,intelligence,philosophy,2,1
6,male,high school,intelligence,mathematics,3,1
6,male,high school,intelligence,coding,4,1
6,male,high school,intelligence,languages,5,1
7,male,high school,intelligence,history,1,1
7,male,high school,intelligence,literature,2,1
7,male,high school,intelligence,analysis,3,1
7,male,high school,intelligence,critical thinking,4,1
7,male,high school,intelligence,knowledge,5,1
8,male,high school,intelligence,research,1,1
8,male,high school,intelligence,inventions,2,1
8,male,high school,intelligence,space exploration,3,1
8,male,high school,intelligence,quantum physics,4,1
8,male,high school,intelligence,algorithms,5,1
9,male,high school,intelligence,TED Talks,1,1
9,male,high school,intelligence,scholarships,2,1
9,male,high school,intelligence,Nobel Prize,3,1
9,male,high school,intelligence,analytics,4,1
9,male,high school,intelligence,strategic games,5,1
10,male,high school,intelligence,wisdom,1,1
10,male,high school,intelligence,intelligence quotient,2,1
10,male,high school,intelligence,problem-solving,3,1
10,male,high school,intelligence,creativity,4,1
10,male,high school,intelligence,thought experiments,5,1
11,male,high school,intelligence,Einstein,1,1
11,male,high school,intelligence,books,2,1
11,male,high school,intelligence,puzzles,3,1
11,male,high school,intelligence,technology,4,1
11,male,high school,intelligence,debates,5,1
12,male,high school,intelligence,brains,1,1
12,male,high school,intelligence,tests,2,1
12,male,high school,intelligence,IQ,3,1
12,male,high school,intelligence,professors,4,1
12,male,high school,intelligence,libraries,5,1
